onsen_id,onsen_name,onsen_romanji,onsen_address,onsen_latitude,onsen_longitude,onsen_area,onsen_area_romanji,prefectures,prefectures_romanji,municipality,municipality_romanji,municipality_type
Onsen_1,愛山渓温泉,aizankeionsen,北海道上川郡上川町,43.72134,142.8158,上川,kamikawa,北海道,Hokkaido,上川町,kamikawa-chyou,town
Onsen_2,阿寒湖温泉,akankoonsen,北海道釧路市阿寒町,43.43328,144.0926,釧路,kusiro,北海道,Hokkaido,阿寒町,akan-chyou,town
Onsen_3,朝日温泉,asahionsen,北海道岩内郡岩内町,42.92003,140.4249,後志,shiribeshi,北海道,Hokkaido,岩内町,iwanai-chyou,town
Onsen_4,旭温泉,asahionsen,北海道天塩郡遠別町,44.67531,141.8597,留萌,rumoi,北海道,Hokkaido,遠別町,enbetsu-chyou,town
Onsen_5,旭岳温泉,asahidakeonsen,北海道上川郡東川町,43.64792,142.7876,上川,kamikawa,北海道,Hokkaido,東川町,higasikawa-chyou,town
Onsen_6,朝里川温泉,asarigawaonsen,北海道小樽市,43.15043,141.0357,後志,shiribeshi,北海道,Hokkaido,小樽市,otaru-city,city
Onsen_7,芦別温泉,ashibetsuonsen,北海道芦別市,43.54596,142.2412,空知,sorachi,北海道,Hokkaido,芦別市,asibetsu-city,city
Onsen_8,網走湖畔温泉,abashirikoonsen,北海道網走市,43.9799,144.2124,オホーツク,ohotuku,北海道,Hokkaido,網走市,abashiri-city,city
Onsen_9,生田原温泉,ikutaharaonsen,北海道紋別郡遠軽町,43.922,143.5352,オホーツク,ohotuku,北海道,Hokkaido,遠別町,enbetsu-chyou,town
Onsen_10,池ノ湯温泉,ikenoyuonsen,北海道川上郡弟子屈町,43.60044,144.349,釧路,kusiro,北海道,Hokkaido,弟子屈町,teshikaga-chyou,town
Onsen_11,石狩温泉,ishikarionsen,北海道石狩市,43.24542,141.3491,石狩,ishikari,北海道,Hokkaido,石狩市,isikari-city,city
Onsen_12,ふとみ銘泉,futomimeisen,北海道石狩郡当別町,43.18918,141.4456,石狩,ishikari,北海道,Hokkaido,当別町,toubetsu-chyou,town
Onsen_13,石田温泉,ishidaonsen,北海道函館市函館市,41.79047,141.1507,渡島,oshima,北海道,Hokkaido,函館市,hakodate-city,city
Onsen_14,伊藤温泉,itouonsen,北海道千歳市,42.7825,141.3129,石狩,ishikari,北海道,Hokkaido,千歳市,chitose-city,city
Onsen_15,稲富温泉,inatomionsen,北海道網走市,43.88931,144.2793,オホーツク,ohotuku,北海道,Hokkaido,網走市,abashiri-city,city
Onsen_16,岩見沢温泉,iwamizawaonsen,北海道岩見沢市,43.1699,141.7595,空知,sorachi,北海道,Hokkaido,岩見沢市,iwamizawa-city,city
Onsen_17,いわない温泉,iwanaionsen,北海道岩内郡岩内町,42.94977,140.5157,後志,shiribeshi,北海道,Hokkaido,岩内町,iwanai-chyou,town
Onsen_18,岩尾内温泉,iwaonaionsen,北海道士別市,44.10001,142.7389,上川,kamikawa,北海道,Hokkaido,士別市,sibetu-city,city
Onsen_19,岩尾別温泉,iwaobetuonsen,北海道斜里郡斜里町,44.1107,145.0892,オホーツク,ohotuku,北海道,Hokkaido,斜里町,syari-chyou,town
Onsen_20,臼別温泉,usubetuonsen,北海道久遠郡せたな町,42.22993,139.9184,檜山,hiyama,北海道,Hokkaido,せたな町,setana-chyou,town
Onsen_21,うずら温泉,uzuraonsen,北海道檜山郡厚沢部町,41.93159,140.3123,檜山,hiyama,北海道,Hokkaido,厚沢部町,assabu-chyou,town
Onsen_22,歌志内温泉,utashinaionsen,北海道歌志内市,43.50407,142.0053,空知,sorachi,北海道,Hokkaido,歌志内市,utashinai-city,city
Onsen_23,歌登温泉,utanoborionsen,北海道枝幸郡枝幸町,44.78364,142.5157,宗谷,souya,北海道,Hokkaido,枝幸町,esasi-chyou,town
Onsen_24,ウトロ温泉,utoroonsen,北海道斜里郡斜里町,43.92423,144.6692,オホーツク,ohotuku,北海道,Hokkaido,斜里町,syari-chyou,town
Onsen_25,ウナベツ温泉,unabetsuonsen,北海道斜里郡斜里町,43.92652,144.8086,オホーツク,ohotuku,北海道,Hokkaido,斜里町,syari-chyou,town
Onsen_26,馬追温泉,umaoionsen,北海道夕張郡長沼町,43.01671,141.7449,空知,sorachi,北海道,Hokkaido,長沼町,naganuma-chyou,town
Onsen_27,浦臼温泉,urausuonsen,北海道樺戸郡浦臼町,43.45058,141.8359,空知,sorachi,北海道,Hokkaido,浦臼町,urausu-chyou,town
Onsen_28,浦幌留真温泉,urahorosurinonsen,北海道十勝郡浦幌町,42.94022,143.6873,十勝,tokachi,北海道,Hokkaido,浦幌町,urahoro-chyou,town
Onsen_29,枝幸温泉,esashionsen,北海道枝幸郡枝幸町,44.93529,142.5663,宗谷,souya,北海道,Hokkaido,枝幸町,esasi-chyou,town
Onsen_30,恵山温泉,esanonsen,北海道函館市,41.79508,141.153,渡島,oshima,北海道,Hokkaido,函館市,hakodate-city,city
Onsen_31,えべおつ温泉,ebeotuonsen,北海道滝川市,43.62842,141.9367,空知,sorachi,北海道,Hokkaido,滝川市,takikawa-city,city
Onsen_32,江別温泉,ebetuonsen,北海道江別市,43.09234,141.5025,石狩,ishikari,北海道,Hokkaido,江別市,ebetsu-city,city
Onsen_33,大船温泉,oofunaonsen,北海道函館市,41.93696,140.913,渡島,oshima,北海道,Hokkaido,函館市,hakodate-city,city
Onsen_34,沖里河温泉,okirikawaonsen,北海道深川市,43.66328,142.0812,空知,sorachi,北海道,Hokkaido,深川市,hukagawa-city,city
Onsen_35,奥屈斜路温泉,okusharoonsen,北海道網走郡津別町,43.55589,144.1916,オホーツク,ohotuku,北海道,Hokkaido,津別町,tsubetsu-chyou,town
Onsen_36,奥美利河温泉,okupirikaonsen,北海道瀬棚郡今金町,42.53952,140.2518,檜山,hiyama,北海道,Hokkaido,今金町,imakane-chyou,town
Onsen_37,おけと湖温泉,oketokoonsen,北海道常呂郡置戸町,43.6138,143.3805,オホーツク,ohotuku,北海道,Hokkaido,置戸町,oketo-chyou,town
Onsen_38,長流枝温泉,osarusionsen,北海道河東郡音更町,43.04189,143.2826,十勝,tokachi,北海道,Hokkaido,音更町,otohuke-chyou,town
Onsen_39,長万部温泉,oshamanbeonsen,北海道山越郡長万部町,42.51648,140.376,渡島,oshima,北海道,Hokkaido,長万部町,osyamanbe-chyou,town
Onsen_40,オソウシ温泉,osoushionsen,北海道上川郡新得町,43.23593,142.961,十勝,tokachi,北海道,Hokkaido,新得町,shintoku-chyou,town
Onsen_41,尾岱沼温泉,odaitouonsen,北海道野付郡別海町,43.58046,145.2139,根室,nemuro,北海道,Hokkaido,別海町,betsukai-chyou,town
Onsen_42,音更温泉,otofukeonsen,北海道河東郡音更町,42.9748,143.2032,十勝,tokachi,北海道,Hokkaido,音更町,otohuke-chyou,town
Onsen_43,乙部温泉,otobeonsen,北海道爾志郡乙部町,41.9788,140.1417,檜山,hiyama,北海道,Hokkaido,乙部町,otobe-chyou,town
Onsen_44,帯広温泉,obihiroonsen,北海道帯広市,42.92458,143.1633,十勝,tokachi,北海道,Hokkaido,帯広市,obihiro-city,city
Onsen_45,温根湯温泉,onneyuonsen,北海道北見市,43.76022,143.509,オホーツク,ohotuku,北海道,Hokkaido,北見市,kitami-city,city
Onsen_46,オホーツク温泉,ohotukuonsen,北海道紋別郡雄武町,44.52701,143.0575,オホーツク,ohotuku,北海道,Hokkaido,雄武町,oumu-chyou,town
Onsen_47,貝取澗温泉,kaitorimaonsen,北海道久遠郡せたな町,42.18905,139.8986,檜山,hiyama,北海道,Hokkaido,せたな町,setana-chyou,town
Onsen_48,川汲温泉,kakkumionsen,北海道函館市,41.9045,140.9804,渡島,oshima,北海道,Hokkaido,函館市,hakodate-city,city
Onsen_49,鹿の子温泉,kanokoonsen,北海道常呂郡置戸町,43.61359,143.3808,オホーツク,ohotuku,北海道,Hokkaido,置戸町,oketo-chyou,town
Onsen_50,上登別温泉,kaminoboribetu,北海道登別市上登別町,42.4941,141.1311,胆振,iburi,北海道,Hokkaido,上登別町,kaminoboribetu-chyou,town
Onsen_51,神居岩温泉,kamuiiwaonsen,北海道留萌市,43.93964,141.6839,留萌,rumoi,北海道,Hokkaido,留萌市,rumoi-city,city
Onsen_52,神威脇温泉,kamuiwakionsen,北海道奥尻郡奥尻町,42.10914,139.424,檜山,hiyama,北海道,Hokkaido,奥尻町,okushiri-chyou,town
Onsen_53,俄虫温泉,gamushionsen,北海道檜山郡厚沢部町,41.93212,140.2365,檜山,hiyama,北海道,Hokkaido,厚沢部町,assabu-chyou,town
Onsen_54,亀川冷泉,kamekawareisen,北海道上磯郡木古内町,41.73652,140.4971,渡島,oshima,北海道,Hokkaido,木古内町,kikonai-chyou,town
Onsen_55,鴨々川温泉,kamokamogawaonsen,北海道札幌市,43.05204,141.3556,石狩,ishikari,北海道,Hokkaido,札幌市,sapporo-city,city
Onsen_56,茅沼温泉,kayanumaonsen,北海道川上郡標茶町,43.1922,144.5007,釧路,kusiro,北海道,Hokkaido,標茶町,shibechya-chyou,town
Onsen_57,上砂川岳温泉,kamisunagawadakeonsen,北海道空知郡上砂川町,43.46596,142.0219,空知,sorachi,北海道,Hokkaido,上砂川町,kamisunagawa-chyou,town
Onsen_58,上の湯温泉,kaminoyuonsen,北海道二海郡八雲町,42.12007,140.373,渡島,oshima,北海道,Hokkaido,八雲町,yakumo-chyou,town
Onsen_59,カルルス温泉,karurusuonsen,北海道登別市,42.51968,141.1073,胆振,iburi,北海道,Hokkaido,登別市,noboribetsu-city,city
Onsen_60,川北温泉,kawakitaonsen,北海道河西郡芽室町,42.94225,143.0489,十勝,tokachi,北海道,Hokkaido,芽室町,memuro-chyou,town
Onsen_61,川上温泉,kawakamionsen,北海道虻田郡京極町,42.83113,140.8925,後志,shiribeshi,北海道,Hokkaido,京極町,kyougoku-chyou,town
Onsen_62,川湯温泉,kawayuonsen,北海道川上郡弟子屈町,43.63769,144.4405,釧路,kusiro,北海道,Hokkaido,弟子屈町,teshikaga-chyou,town
Onsen_63,かんの温泉,kannoonsen,北海道河東郡鹿追町,43.32608,143.0495,十勝,tokachi,北海道,Hokkaido,鹿追町,sikaoi-chyou,town
Onsen_64,木古内ビュウ温泉,kikonaibyuonsen,北海道上磯郡木古内町,41.68902,140.4482,渡島,oshima,北海道,Hokkaido,木古内町,kikonai-chyou,town
Onsen_65,北広島温泉,kitahiroshimaonsen,北海道北広島市,43.0219,141.4896,石狩,ishikari,北海道,Hokkaido,北広島市,kitahiroshima-city,city
Onsen_66,北檜山温泉,kitahinokiyamaonsen,北海道久遠郡せたな町,42.41553,139.8803,檜山,hiyama,北海道,Hokkaido,せたな町,setana-chyou,town
Onsen_67,北見温泉,kitamionsen,北海道北見市,43.82802,143.9283,オホーツク,ohotuku,北海道,Hokkaido,北見市,kitami-city,city
Onsen_68,北村温泉,kitamuraonsen,北海道岩見沢市,43.26042,141.6979,空知,sorachi,北海道,Hokkaido,岩見沢市,iwamizawa-city,city
Onsen_69,北湯沢温泉,kitayuzawaonsen,北海道伊達市,42.62222,141.0231,胆振,iburi,北海道,Hokkaido,伊達市,date-city,city
Onsen_70,協和温泉,kyouwaonsen,北海道上川郡愛別町,43.94313,142.5838,上川,kamikawa,北海道,Hokkaido,愛別町,aibetsu-chyou,town
Onsen_71,清里温泉,kiyosatoonsen,北海道斜里郡清里町,43.83516,144.5992,オホーツク,ohotuku,北海道,Hokkaido,清里町,kiyosato-chyou,town
Onsen_72,霧多布温泉,kiritappuonsen,北海道厚岸郡浜中町,43.07724,145.1338,釧路,kusiro,北海道,Hokkaido,浜中町,hamanaka-chyou,town
Onsen_73,キロロ温泉,kiroroonsen,北海道余市郡赤井川村,43.07595,140.9822,後志,shiribeshi,北海道,Hokkaido,赤井川村,akaigawa-mura,village
Onsen_74,宮内温泉,miyauchionsen,北海道島牧郡島牧村,42.67481,140.0855,後志,shiribeshi,北海道,Hokkaido,島牧村,shimamaki-mura,village
Onsen_75,屈足温泉,kuttarionsen,北海道上川郡新得町,43.15962,142.9088,十勝,tokachi,北海道,Hokkaido,新得町,shintoku-chyou,town
Onsen_76,倶知安温泉,kucchanonsen,北海道虻田郡倶知安町,42.89798,140.7356,後志,shiribeshi,北海道,Hokkaido,倶知安町,kucchan-chyou,town
Onsen_77,栗山温泉,kuriyamaonsen,北海道夕張郡栗山町,43.058,141.798,空知,sorachi,北海道,Hokkaido,栗山町,kuriyama-chyou,town
Onsen_78,グリーンピア大沼,guriinpiaoonuma,北海道茅部郡森町,42.0024,140.6019,渡島,oshima,北海道,Hokkaido,森町,mori-machi,town
Onsen_79,見市温泉,kenichionsen,北海道二海郡八雲町,42.15527,140.0409,渡島,oshima,北海道,Hokkaido,八雲町,yakumo-chyou,town
Onsen_80,原生亭温泉,genseiteionsen,北海道斜里郡小清水町,43.92537,144.4386,オホーツク,ohotuku,北海道,Hokkaido,小清水町,koshimizu-chyou,town
Onsen_81,剣淵温泉,kenbuchionsen,北海道上川郡剣淵町,44.09736,142.4223,上川,kamikawa,北海道,Hokkaido,剣淵町,kenbuchi-chyou,town
Onsen_82,大雪高原温泉,daisetukougenonsen,北海道上川郡上川町,43.62616,142.9309,上川,kamikawa,北海道,Hokkaido,上川町,kamikawa-chyou,town
Onsen_83,小金湯温泉,koganeyuonsen,北海道札幌市,42.96814,141.2193,石狩,ishikari,北海道,Hokkaido,札幌市,sapporo-city,city
Onsen_84,小清水温泉,koshimizuonsen,北海道斜里郡小清水町,43.8535,144.4729,オホーツク,ohotuku,北海道,Hokkaido,小清水町,koshimizu-chyou,town
Onsen_85,虎杖浜温泉,kojouhamaonsen,北海道白老郡白老町,42.4626,141.21,胆振,iburi,北海道,Hokkaido,白老町,siraoi-chyou,town
Onsen_86,古丹別温泉,kotanbetuonsen,北海道苫前郡苫前町,44.26577,141.7147,留萌,rumoi,北海道,Hokkaido,苫前町,tomamae-chyou,town
Onsen_87,駒ヶ峯温泉,komaganeonsen,北海道茅部郡森町,42.01537,140.6427,渡島,oshima,北海道,Hokkaido,森町,mori-machi,town
Onsen_88,五味温泉,gomionsen,北海道上川郡下川町,44.25029,142.6413,上川,kamikawa,北海道,Hokkaido,下川町,simokawa-chyou,town
