onsen_manner_id,onsen_manner_jp1,onsen_manner_jp2,onsen_manner_en1,onsen_manner_en2
Onsen_m1,貴重品は脱衣所に持って行かないか、鍵付きロッカーへ,貴重品は、入浴前にフロントに預けるかお部屋の金庫に保管しましょう。鍵付きのロッカーがある場合には利用しましょう。,Let's stop bringing valuables to a no key's locker room.,Let's keep valuables in the safe of the room without bringing to a locker room.
Onsen_m2,浴場での飲食は禁止,浴場での飲食は禁止,Eating and drinking of in the bath house is forbidden.,Eating and drinking of in the bath house is forbidden.
Onsen_m3,脱衣所ですべての服を脱ぐ,脱衣所ではすべての服を脱いで、脱衣籠もしくはロッカーに入れましょう。下着もすべて脱いでから入りましょう。,"In a locker room, let's remove all the dress.","Take off all your clothes in the dressing room, I'll put in a locker for bathroom basket. Underwear also let go and take off from all."
Onsen_m4,入浴前にはトイレを済ませる,入浴前にはトイレを済ませる,Go to restroom for bathing or before.,Go to restroom for bathing or before.
Onsen_m5,入浴前には水分補給,入浴によって体内の水分が失われます。前もってコップ1杯の水を飲んでおきましょう。,Please be ingested water before you take a bath.,Body water is lost by the bath. Let's drink a glass of water before you take a bath.
Onsen_m6,入浴前には体を洗う,湯船に入る前には身体を洗いましょう。足元から順に、石鹸が身体に残らないようにしっかりと洗いましょう。,You wash your body before you take a bath.,"Let's wash the body before entering the tub. Let's wash firmly in order from the tip of the foot, soap. Please do not remain in the body."
Onsen_m7,周りの人にシャワーがかからないように,立ち上がってシャワーを使わないように。勢いよくしぶきを飛ばして周りの人に迷惑をかけないようにしましょう。,"The shower, please use it so as not to disturb people around.",Please do not use the shower to get up. Please do not knocked off a splash around.
Onsen_m8,まずは半身浴で,湯船に入る時は、まずは腰までつかって、ゆっくりと身体を温めましょう。,Waist Go into your hot water first.,Waist Let's go slowly to the bath first. Let's then warm the body slowly.
Onsen_m9,浴槽にタオルを入れない,浴槽にタオルを入れない,You are not allowed to put a towel in the tub.,You are not allowed to put a towel in the tub.
Onsen_m10,入浴前にかけ湯を必ず,入浴前に身体を洗うことができない場合にも、かけ湯は必ずしましょう。かけ湯は身体を湯温にならすためにもしましょう。,Please tale the hot water in the body before taking a bath.,"Even if you can not wash the body before taking a bath, hot water, let your body subjected to the hot water always. It is necessary to get used to the temperture of the hot water body."
Onsen_m11,髪の毛は湯船につからないように,髪の毛は縛ったり、タオルで包むなどして入浴しましょう。,Hair will prevent you from entering the bathtub.,"Hair Let bathing with or tie, for example, wrap a towel."
Onsen_m12,浴槽に飛び込まない,もぐったり・泳いだり・飛び込んだりするのはやめましょう。,It is not jump into bathtub.,Swim - jumpning - that dive is prohibited acts.
Onsen_m13,浴槽では静かに,お風呂で大声を出すことはやめましょう。また浴場は滑りやすいので、走ったりしないようにしましょう。,To quiet in the bathhouse.,"Let us not that speal loudly in the bath. The bath is slippery, it is suggensted that you do not or running."
Onsen_m14,洗い場の場所取りをしない,洗い場に自分のものを置いたままにするのはやめましょう。,Do not take the place of washing space.,And to leave it on your stuff in the scullery Let us not.
Onsen_m15,長湯は禁物,長時間、お湯につかりすぎると健康によくありません。汗が出て動悸がするほどの長湯はやめましょう。,"Long time, soak in the hot water I'll quit.","It is not good for the health for a long time, it is too soak in hot water. Let's to prevent it from beating may become faster, sweat and out a lot."
Onsen_m16,子供は保護者が責任を持って,子供が走り回ったりしてケガをしたり、迷惑をかけたり保護者の方は常に見守りましょう。,"Adult, should have the responsibility to children's behavior.","Your child, to avoid injury by, for example, run around, adult, please supervision."
Onsen_m17,浴場浴槽で洗濯するのは禁止,浴場浴槽で洗濯するのは禁止,That you wash in the bath is not permitted.,That you wash in the bath is not permitted.
Onsen_m18,湯上り後シャワーは浴びずに,泉質にもよりますが、温泉成分は洗い流さず水滴を拭う程度にしましょう。ただし、肌が弱い方はよく洗い流してください。,I recommend you to stop taking a shower after exiting the bathtub.,"It is suggested that you do not wash away the components of hotspring attached to the skin. However, people of sensitive skin, please wash well."
Onsen_m19,浴場から脱衣場へは濡れたままで出入りしない,浴場から脱衣場へは濡れたままで出入りしない,"Body is getting wet, please do not enter the dressing room.","Body is getting wet, please do not enter the dressing room."
Onsen_m20,入浴後は休息を,入浴中はエネルギーが消費されます。また血圧も変動するため、入浴後はゆっくりと休みましょう。,Let's break after bathing.,"Energy is consumed while bathing. To any change in blood pressure, let's rest slowly after bathing."
Onsen_m21,体調がよくない時は入浴をしない,体調がよくない時は入浴をしない,Do not do bathing when physical condition is not good.,Do not do bathing when physical condition is not good.
Onsen_m22,入浴後にも水分補給,入浴による発汗や利尿作用により水分が失われます。入浴後は、水分補給をしましょう。,"Even after bathing, let's replenish moisture.","Moisture will be lost by sweating and diuretic effect by bathing. After bathing, let's replenish moisture."
Onsen_m23,食後すぐの入浴は控える,入浴によって、血液が内蔵以外の場所にいきわたるため、消化吸収が悪くなるようです。食事をした後はしばらく時間をおいてから入浴しましょう。,You take a bath immediately after a meal will help you quit.,"After a meal, blood will go to the location of the organ for digestion and absorption. After placing a while time after a meal, let's take a bath."
Onsen_m24,お酒を飲んだ後の入浴はやめましょう,お酒を飲んだ後の入浴はやめましょう,Let us not taking a bath on After drinking alchole.,Let us not taking a bath on After drinking alchole.
Onsen_m25,家まで気を付けて帰ってください,家まで気を付けて帰ってください,Please pay attention until when you go back home or to hotel.,Please pay attention until when you go back home or to hotel.
